TRIMESTRE,IVA_TOTAL,PIB
2005-1,5767982.507,87871072.13
2005-2,4401388.299,90397907
2005-3,6574226.203,96418470.16
2005-4,5054820.015,103910550.7
2007-1,5214800.717,101110417
2007-2,5317543.331,101295381.5
2007-3,7463071.888,106032577.7
2007-4,8195755.723,115300681.3
2008-1,7991290.626,112932231
2008-2,7579256.614,119369658
2008-3,7694091.574,124357348.8
2008-4,6916081.915,125624791.2
2009-1,7074014.614,118604564.2
2009-2,6902613.702,120771506
2009-3,8030068.007,129030288
2009-4,8514458.958,133101628.9
2010-1,8389686.256,128915804.3
2010-2,9244650.887,131835857.5
2010-3,9175009.225,138292797.3
2010-4,7953545.08,145520050.8
2011-1,9881291.499,144490532.3
2011-2,7782231.475,145244800.9
2011-3,9038986.333,150532573
2011-4,9055441.988,156058079.8
2012-1,10129731.02,161302308
2012-2,8112584.908,162485503.5
2012-3,11103050.22,167561857.2
2012-4,8089325.503,175104148.6
2013-1,10478725.8,168317985.2
2013-2,7431372.554,174288054.6
2013-3,11107490.66,183450120.4
2013-4,8356633.023,188057736.8
2014-1,9254458.86,184302027.4
2014-2,8195394.224,183799193.9
2014-3,10390621.95,187503348
2014-4,9244979.65,195974147.4
2015-1,8450134.7,189516814.8
2015-2,8586832.008,191648044
2015-3,13122113.37,208124248.5
2015-4,9871767.929,212810955.7
2016-1,14010238.23,208807830.5
2016-2,9091451.621,207784875.7
2016-3,12950687.25,220847156.1
2016-4,9910113.328,228910955.9
2017-1,15560131.61,221122112.5
2017-2,11162103.82,227359506.3
2017-3,16306793.13,235788339.9
2017-4,11030047.74,243448491.3
2018-1,17377992.43,239976696.1
2018-2,11946662.12,247480652.5
2018-3,17042223.1,261267961.6
2018-4,13017703.61,265058052.6
2019-1,18941782.97,261083355.4
2019-2,13039608.47,265525904.2
2019-3,14417696.5,272832404
2019-4,14383384.07,285090490
2020-1,10512301.51,212690563.3
2020-2,9512340.03,147905257.1
2020-3,13516218.63,275280919.3
2020-4,12050606.15,273637734.4
2021-1,14778852.78,272576141.5
2021-2,21731308.72,308911722
2021-3,24847608.5,337350432.5
2021-4,26320716.64,373480930.4
2022-1,28039379.71,355852754.2
2022-2,29977902.71,385582754.2
2022-3,31716522.02,394807846.8
2023-1,30066804.99,389185520.8
2023-2,31010064.42,401857846.8
2023-3,28930383.85,401227022.9
2023-4,29944319.39,415041445
2024-1,29070624.88,409747779.4
2024-2,28729045.22,435304057
2024-3,29740462.7,435004057
2024-4,29230304.78,451074896.6
